id_venda,data_venda,cliente,estado,cidade,produto,categoria,quantidade,valor_unitario,valor_total,responsavel
1,2025-11-27,Cliente_248,PR,São Paulo,Monitor,Acessórios,4,4449.84,17799.36,Luis Gustavo de Matos dos Santos
2,2025-10-01,Cliente_129,RS,São Paulo,Teclado,Eletrônicos,4,4933.29,19733.16,Luis Gustavo de Matos dos Santos
3,2025-05-26,Cliente_34,RS,Porto Alegre,Teclado,Acessórios,2,3861.99,7723.98,Luis Gustavo de Matos dos Santos
4,2025-12-30,Cliente_234,RJ,São Paulo,Monitor,Eletrônicos,8,1622.1,12976.8,Luis Gustavo de Matos dos Santos
5,2026-01-27,Cliente_267,SP,Curitiba,Mouse,Acessórios,10,1617.63,16176.3,Luis Gustavo de Matos dos Santos
6,2025-10-03,Cliente_125,MG,São Paulo,Teclado,Eletrônicos,6,1079.19,6475.14,Luis Gustavo de Matos dos Santos
7,2025-06-02,Cliente_2,SC,São Paulo,Monitor,Acessórios,6,1456.64,8739.84,Luis Gustavo de Matos dos Santos
8,2025-12-29,Cliente_277,RS,Belo Horizonte,Headset,Eletrônicos,4,112.49,449.96,Luis Gustavo de Matos dos Santos
9,2025-06-04,Cliente_35,RS,São Paulo,Headset,Acessórios,10,219.62,2196.2,Luis Gustavo de Matos dos Santos
10,2025-07-27,Cliente_114,SP,São Paulo,Teclado,Eletrônicos,9,801.01,7209.09,Luis Gustavo de Matos dos Santos
11,2025-11-19,Cliente_74,SC,Belo Horizonte,Teclado,Acessórios,1,3034.2,3034.2,Luis Gustavo de Matos dos Santos
12,2026-03-12,Cliente_229,MG,Curitiba,Monitor,Eletrônicos,7,4811.68,33681.76,Luis Gustavo de Matos dos Santos
13,2026-02-27,Cliente_237,SP,Curitiba,Notebook,Eletrônicos,8,3443.77,27550.16,Luis Gustavo de Matos dos Santos
14,2025-07-26,Cliente_8,MG,Curitiba,Monitor,Acessórios,4,662.97,2651.88,Luis Gustavo de Matos dos Santos
15,2026-02-05,Cliente_207,SC,Rio de Janeiro,Headset,Eletrônicos,9,2337.72,21039.48,Luis Gustavo de Matos dos Santos
16,2025-03-21,Cliente_156,SC,Curitiba,Headset,Eletrônicos,9,4975.88,44782.92,Luis Gustavo de Matos dos Santos
17,2025-12-17,Cliente_161,RS,Joinville,Notebook,Acessórios,3,775.86,2327.58,Luis Gustavo de Matos dos Santos
18,2025-08-21,Cliente_260,RJ,São Paulo,Notebook,Eletrônicos,9,207.85,1870.65,Luis Gustavo de Matos dos Santos
19,2025-11-11,Cliente_218,SC,Joinville,Teclado,Acessórios,10,563.17,5631.7,Luis Gustavo de Matos dos Santos
20,2025-06-13,Cliente_149,RS,Porto Alegre,Headset,Acessórios,4,3148.75,12595.0,Luis Gustavo de Matos dos Santos
21,2025-05-05,Cliente_262,SP,Belo Horizonte,Headset,Acessórios,3,3367.78,10103.34,Luis Gustavo de Matos dos Santos
22,2025-10-14,Cliente_10,SC,Porto Alegre,Mouse,Acessórios,1,1557.33,1557.33,Luis Gustavo de Matos dos Santos
23,2025-12-03,Cliente_205,PR,Porto Alegre,Teclado,Eletrônicos,7,3620.76,25345.32,Luis Gustavo de Matos dos Santos
24,2025-10-07,Cliente_73,RJ,Porto Alegre,Monitor,Acessórios,8,3815.42,30523.36,Luis Gustavo de Matos dos Santos
25,2025-08-18,Cliente_51,PR,Joinville,Notebook,Eletrônicos,4,1541.72,6166.88,Luis Gustavo de Matos dos Santos
26,2025-10-22,Cliente_282,SP,Rio de Janeiro,Teclado,Eletrônicos,7,1483.58,10385.06,Luis Gustavo de Matos dos Santos
27,2025-12-28,Cliente_154,PR,Rio de Janeiro,Mouse,Acessórios,6,2154.65,12927.9,Luis Gustavo de Matos dos Santos
28,2025-07-25,Cliente_68,SP,Rio de Janeiro,Notebook,Eletrônicos,1,285.61,285.61,Luis Gustavo de Matos dos Santos
29,2025-06-23,Cliente_278,SC,Curitiba,Teclado,Acessórios,1,2199.86,2199.86,Luis Gustavo de Matos dos Santos
