investimento_marketing,preco_medicamento,mes,demanda
16795,844,11,353
1860,172,5,60
39158,331,12,55
45732,313,1,61
12284,617,2,269
7265,132,10,29
17850,720,3,323
38194,131,4,22
22962,194,9,16
48191,841,1,351
45131,321,3,63
17023,983,3,456
42090,535,6,162
2685,753,5,357
1769,981,3,467
3433,240,4,95
6311,190,11,52
38819,337,7,80
40188,232,3,23
18568,272,9,75
20769,143,8,8
29693,659,2,276
7396,232,5,85
28480,643,4,258
42434,104,12,65
26658,535,5,235
19942,84,3,7
19431,337,10,109
3747,365,11,137
1189,651,1,319
20118,262,8,81
36773,917,9,359
2899,156,8,46
2267,266,4,96
32551,460,12,123
12394,64,2,14
4556,677,4,298
4890,899,9,415
42606,707,10,241
31740,573,9,177
15502,828,5,374
22777,990,5,436
11627,108,10,17
9792,749,3,346
44323,973,6,381
44021,247,7,18
9433,829,12,358
44001,310,10,45
12016,441,12,146
24897,86,9,34
3612,270,7,114
24483,60,3,14
49555,118,12,77
18159,325,7,96
45974,891,1,347
41994,873,2,327
15541,475,4,174
36920,610,7,223
27531,320,9,93
2585,218,5,97
4943,678,8,298
24939,507,7,179
20457,125,5,4
2021,420,3,207
12653,724,3,345
44573,496,6,147
14417,141,10,6
41757,96,11,70
10692,331,4,120
46758,131,3,30
7873,880,4,402
6675,828,3,398
1161,701,12,304
38065,537,10,155
27557,216,11,4
34763,117,11,31
33606,478,12,122
12534,860,6,382
30127,249,7,43
41397,187,4,0
26851,828,3,352
2016,796,3,385
25253,27,11,54
25276,191,3,34
24247,973,9,409
25300,379,11,112
9529,214,11,55
18262,288,12,60
10268,38,3,4
22271,373,3,144
13185,883,8,398
22243,68,4,2
40099,483,7,122
9571,375,3,168
40976,869,8,316
39044,993,3,422
49984,177,5,20
41774,85,1,45
3568,992,12,446
3027,878,5,419
3695,590,6,285
49190,840,7,301
6258,327,2,132
23002,356,2,123
40504,690,9,215
34159,802,10,301
14986,140,1,27
13666,785,2,354
39660,423,2,133
4561,792,10,357
27854,666,7,245
39952,805,6,308
23662,587,9,215
9392,862,11,385
31535,115,7,36
14067,133,3,29
49033,888,3,328
24599,448,1,159
36222,559,8,176
12837,837,1,392
15039,21,11,51
31818,231,2,67
20115,599,11,222
11965,659,12,259
25538,352,7,116
43530,43,1,67
6056,784,12,346
33482,387,4,110
48716,761,9,255
9110,525,8,229
14773,195,11,19
28266,448,8,160
18412,906,12,386
34270,752,3,312
7910,461,5,196
46453,567,4,174
26446,533,11,182
1206,914,12,431
22518,380,8,130
23361,293,11,58
24419,196,7,29
49702,283,7,26
42523,205,10,6
46151,546,10,152
23403,932,7,393
19141,298,1,110
15820,725,7,306
41342,217,4,29
7374,368,12,122
2678,942,3,457
34827,440,12,124
17198,324,5,108
10914,83,2,12
28890,309,8,84
23299,37,12,63
44585,83,12,78
44689,893,9,343
43557,349,5,77
45020,889,3,356
3693,782,10,366
30467,959,7,393
30723,36,1,50
47699,462,10,108
4627,160,3,84
26939,327,9,83
49925,463,2,118
43941,515,11,125
22834,445,9,140
19047,494,11,188
27105,851,1,376
11230,264,4,99
16707,469,12,166
22976,821,10,334
45262,370,6,65
24776,618,7,236
31080,730,3,282
2306,889,9,421
7776,979,4,466
28251,180,5,23
10474,159,8,35
41294,512,12,151
22959,607,3,229
6530,550,8,237
30320,412,11,124
4748,861,1,429
32968,420,8,119
33562,69,11,72
14545,763,11,310
1663,314,12,117
35766,444,10,114
8994,925,8,417
29021,31,6,59
31303,354,5,103
4304,34,9,19
47576,47,6,88
40353,407,1,120
18675,311,12,78
45417,906,6,328
24938,852,1,383
24664,269,6,66
2636,524,3,244
21080,117,6,2
28728,834,6,331
27736,356,1,124
29673,58,9,64
38505,57,8,85
48323,319,2,53
47645,198,2,1
1854,628,5,290
25548,911,10,378
39623,488,2,166
8392,301,11,97
47717,769,1,279
22556,183,2,39
39559,472,5,136
27309,116,11,53
22919,788,10,306
5931,328,7,137
33970,281,5,56
45215,312,1,60
13688,789,7,355
26342,268,6,57
38157,264,7,42
3327,270,2,116
41772,142,5,47
41545,344,8,66
1197,700,12,307
24509,966,7,410
35698,520,6,180
45542,706,6,251
16087,800,12,328
23671,735,1,316
26184,856,1,374
28848,85,7,46
43107,846,3,323
21666,855,6,344
45357,78,12,78
16708,750,5,331
27370,517,3,180
3811,392,6,153
48011,285,3,46
7546,672,8,301
35754,255,7,37
31206,917,9,355
42106,237,5,21
12411,546,12,214
3911,833,1,408
2734,460,11,190
19227,669,10,263
9680,425,11,141
20360,763,8,302
19343,620,2,276
6759,994,6,467
24078,608,1,253
36153,667,6,248
12111,936,4,422
38504,488,5,139
2802,937,10,438
9155,129,7,25
9120,372,6,141
40384,832,1,322
48025,110,9,63
48254,955,6,358
22918,901,6,394
21445,937,9,388
31306,433,12,125
17646,721,10,294
47843,92,5,60
32065,704,11,265
26199,566,6,218
42976,741,6,270
17371,317,7,90
12835,664,9,284
46936,302,5,41
3049,524,5,248
32616,217,4,22
39191,977,10,370
48357,51,4,91
21932,667,12,257
30855,779,8,310
8158,890,2,432
44016,360,10,54
8400,677,8,302
43642,353,2,75
16151,162,1,54
2154,765,10,350
5499,429,9,181
7295,968,11,444
13183,63,8,1
30299,51,6,40
13874,762,4,330
33711,47,2,42
6539,442,8,177
43405,510,3,159
49354,179,10,36
3557,864,4,417
39360,226,5,20
17482,37,4,35
3200,122,11,34
47940,601,8,181
3961,650,9,286
47975,670,1,229
22357,691,2,285
12969,251,12,65
3869,679,4,334
47760,884,1,339
29643,443,11,130
25736,923,6,380
39467,774,12,270
24328,566,5,207
26876,856,7,359
22295,913,12,364
4987,886,6,413
23399,258,3,69
47214,353,5,84
34986,168,3,6
21880,642,9,252
5735,427,2,191
45064,36,6,87
5555,933,9,417
42914,245,10,4
41818,671,7,229
46525,675,5,211
20830,279,2,117
18429,748,2,335
7893,693,4,320
15373,623,10,259
48333,193,12,39
4436,862,2,430
9754,224,12,69
11677,434,8,165
6895,527,10,229
20738,172,7,18
31746,122,7,18
49404,733,3,267
33352,811,7,328
40790,84,8,54
42919,136,5,29
6600,684,1,334
30124,175,1,26
28643,695,12,273
41764,101,11,58
10007,537,4,224
46714,853,2,340
38410,86,7,48
45080,257,3,17
41447,603,12,183
9208,626,4,300
19589,835,9,345
44484,998,2,392
18453,345,12,100
37212,609,8,212
44525,86,1,32
48202,195,3,3
33635,852,4,359
34828,703,6,264
19711,497,1,198
4420,274,8,114
32216,82,2,36
1301,833,5,416
46236,422,6,103
1699,777,8,381
1190,211,3,92
11492,998,12,429
36743,348,9,78
7102,90,12,7
20778,897,5,397
27641,760,8,297
35584,965,4,391
33745,82,12,62
24093,316,9,88
1569,264,8,102
39210,538,5,157
35663,412,3,123
37631,791,1,330
46681,620,5,183
